content_code,source_link1,source_link2,source_link3,graphic,event_date,latitude,longitude,tooltip,events_no
MMR010,https://twitter.com/ThomasVLinge/status/1366012299262230533,,,FALSE,28-Feb-21,12.441568,98.596877,Less-lethals,1
MMR005,https://www.facebook.com/khitthitnews/videos/271614997651199,,,FALSE,28-Feb-21,14.07117,98.189569,Live ammunition,1
MMR009,https://www.youtube.com/watch?v=xgmUbOc048Y&feature=youtu.be,,,TRUE,28-Feb-21,14.076131,98.19317,"Deaths, live ammunition",1
MMR020_1,https://www.youtube.com/watch?v=I0oQnn28c24,,,FALSE,28-Feb-21,16.45149,97.636081,"Less-lethals, live ammunition",1
MMR045,https://www.youtube.com/watch?v=e-O-J16fVQ4,,,FALSE,01-Mar-21,16.452022,97.635815,Live ammunition,1
MMR020,https://www.youtube.com/watch?v=I0oQnn28c24,,,FALSE,28-Feb-21,16.490361,97.618987,Live ammunition,1
MMR057,https://twitter.com/jamesmilzer/status/1367490021343846408,,,FALSE,04-Mar-21,16.770985,94.733727,"Live ammunition, military",1
MMR064,https://twitter.com/cape_diamond/status/1367876167529754627,,,FALSE,05-Mar-21,16.7763893,96.1751885,Other,1
MMR024,https://www.facebook.com/2074139396236179/videos/176684920681242,,,FALSE,28-Feb-21,16.776697,96.164486,Less-lethals,1
MMR027,https://www.facebook.com/2074139396236179/videos/1592327347633175,,,FALSE,28-Feb-21,16.776777,96.161747,Less-lethals,1
MMR013,https://www.youtube.com/watch?v=1oCozCj_7Ws&feature=youtu.be,,,FALSE,28-Feb-21,16.7941632,96.1754668,Less-lethals,1
MMR077,https://twitter.com/kyawzayar_linn/status/1368595069641650183,,,FALSE,07-Mar-20,16.7957832,96.12432684,Less-lethals,1
MMR061,https://twitter.com/298kyi/status/1367399730863480833,,,FALSE,04-Mar-21,16.79974686,96.17570586,Less-lethals,1
MMR038,https://twitter.com/keren_khin/status/1366648500952256517,,,FALSE,02-Mar-21,16.802227,96.13611,Less-lethals,1
MMR021,https://www.youtube.com/watch?v=V5dAyGQQIf4,,,FALSE,28-Feb-21,16.803349,96.134361,Less-lethals,1
MMR033,https://twitter.com/hayman_oo/status/1366651664996970497,,,FALSE,02-Mar-21,16.803688,96.134078,Military,1
MMR034,https://twitter.com/khineZarChiKo1/status/1366649440300191745,,,FALSE,02-Mar-21,16.8037,96.133861,"Live ammunition, military",1
MMR003,https://twitter.com/Myanmar_Now_Eng/status/1365858318837641219,https://twitter.com/matthewfsmith/status/1365864386301149187,https://twitter.com/ThomasVLinge/status/1366026930114420739,TRUE,27-Feb-21,16.825675,96.126747,Deaths,3
MMR004,https://twitter.com/Myanmar_Now_Eng/status/1365858318837641219,https://twitter.com/matthewfsmith/status/1365864386301149187,https://twitter.com/ThomasVLinge/status/1366026930114420739,TRUE,27-Feb-21,16.825675,96.126747,Deaths,3
MMR008,https://twitter.com/Myanmar_Now_Eng/status/1365858318837641219,https://twitter.com/matthewfsmith/status/1365864386301149187,https://twitter.com/ThomasVLinge/status/1366026930114420739,TRUE,28-Feb-21,16.825675,96.126747,Deaths,3
MMR029,https://www.facebook.com/mizzimatvchannel/videos/427802588308207,https://twitter.com/thae2003/status/1365876377715638272,,TRUE,28-Feb-21,16.826097,96.127223,"General protest, less-lethals",2
MMR031,https://www.facebook.com/mizzimatvchannel/videos/427802588308207,https://twitter.com/thae2003/status/1365876377715638272,,TRUE,28-Feb-21,16.826097,96.127223,"General protest, less-lethals",2
MMR026,https://www.facebook.com/2074139396236179/videos/2611001879194359,,,TRUE,28-Feb-21,16.82644903,96.12775959,Injuries,1
MMR006,https://twitter.com/wkkaung/status/1365991211807305728,,,FALSE,28-Feb-21,16.82828866,96.15451077,Less-lethals,1
MMR007,https://twitter.com/wkkaung/status/1365992391501484032,,,FALSE,28-Feb-21,16.8283642,96.1556265,Less-lethals,1
MMR028,https://www.facebook.com/mizzimatvchannel/videos/180512443579126,,,FALSE,28-Feb-21,16.832653,96.168167,Less-lethals,1
MMR012,https://twitter.com/ThomasVLinge/status/1366029674145579009,,,FALSE,28-Feb-21,16.8327361,96.1679878,Less-lethals,1
MMR042,https://twitter.com/TinMoeKhaing8/status/1366645685576101888,,,FALSE,02-Mar-21,16.83675404,96.12772346,"Live ammunition, military",1
MMR039,https://twitter.com/Myanmar_Now_Eng/status/1366687582025736198,,,FALSE,02-Mar-21,16.83899296,96.12721341,Other,1
MMR053,https://www.facebook.com/346571225700653/videos/1383739018646055,,,FALSE,03-Mar-21,16.890987,96.15352,Live ammunition,1
MMR050,https://twitter.com/Limario01/status/1367131453020983298,,,TRUE,03-Mar-21,16.892137,96.154216,Deaths,1
MMR049,https://www.facebook.com/koctshinnway/videos/182675563582764,https://twitter.com/mydaydream89/status/1367079829342998529,,TRUE,03-Mar-21,16.892308,96.154214,"Injuries, live ammunition",2
MMR051,https://www.facebook.com/koctshinnway/videos/182675563582764,https://twitter.com/mydaydream89/status/1367079829342998529,,TRUE,03-Mar-21,16.892308,96.154214,"Injuries, live ammunition",2
MMR063,https://twitter.com/Travelkueen1/status/1367099744057630726,,,FALSE,03-Mar-21,16.901331,96.16427,Deaths,1
MMR037,https://twitter.com/keren_khin/status/1366659065909112836,,,FALSE,02-Mar-21,20.798799,97.039266,Beating,1
MMR057,https://www.facebook.com/100011759491176/videos/1257712954630676/,,,TRUE,03-Mar-21,21.450978,95.387327,Deaths,1
MMR055,https://www.facebook.com/nanmyintthein/videos/10214634560536004/,,,FALSE,03-Mar-21,21.452592,95.387689,Live ammunition,1
MMR056,https://www.facebook.com/100008879564999/videos/2508993296073298/,,,FALSE,03-Mar-21,21.452944,95.387727,General protest,1
MMR030,https://www.facebook.com/mizzimatvchannel/videos/107783011266528,,,FALSE,28-Feb-21,21.94756153,96.11121882,General protest,1
MMR018,https://twitter.com/MyanmarSR21/status/1365994523571015694,,,TRUE,28-Feb-21,21.96616,96.084352,Beating,1
MMR017,https://twitter.com/MyanmarSR21/status/1365555924392308736,,,TRUE,27-Feb-21,21.96778,96.106827,Beating,1
MMR001,https://twitter.com/hannayuri_twt/status/1365994873313103876,https://twitter.com/mipnnn1910/status/1366005322767241222,https://twitter.com/kyawtka71294934/status/1365999088400007168,TRUE,28-Feb-21,21.96886988,96.09119559,"Deaths, injuries",3
MMR002,https://twitter.com/hannayuri_twt/status/1365994873313103876,https://twitter.com/mipnnn1910/status/1366005322767241222,https://twitter.com/kyawtka71294934/status/1365999088400007168,TRUE,28-Feb-21,21.96886988,96.09119559,"Deaths, injuries",3
MMR033,https://twitter.com/hannayuri_twt/status/1365994873313103876,https://twitter.com/mipnnn1910/status/1366005322767241222,https://twitter.com/kyawtka71294934/status/1365999088400007168,TRUE,28-Feb-21,21.96886988,96.09119559,"Deaths, injuries",3
MMR076,https://twitter.com/keren_khin/status/1368443750792396800,,,TRUE,07-Mar-20,21.98935606,96.07109222,Beating,1
MMR014,https://twitter.com/MMProtestsNews/status/1365611775844970502,https://www.facebook.com/thihasaw88/videos/1592379294484533,,FALSE,27-Feb-21,22.105623,95.137198,"Beating, less-lethals",2
MMR015,https://twitter.com/MMProtestsNews/status/1365611775844970502,https://www.facebook.com/thihasaw88/videos/1592379294484533,,FALSE,27-Feb-21,22.105623,95.137198,"Beating, less-lethals",2
MMR064,https://www.facebook.com/216265185075061/videos/255764599532462,https://www.facebook.com/100490922086310/videos/262690538800175,https://www.facebook.com/101676368545855/videos/268360508135471/,TRUE,03-Mar-21,22.111619,95.139197,"Deaths, injuries",3
MMR065,https://www.facebook.com/216265185075061/videos/255764599532462,https://www.facebook.com/100490922086310/videos/262690538800175,https://www.facebook.com/101676368545855/videos/268360508135471/,TRUE,03-Mar-21,22.111619,95.139197,"Deaths, injuries",3
MMR065,https://www.facebook.com/216265185075061/videos/255764599532462,https://www.facebook.com/100490922086310/videos/262690538800175,https://www.facebook.com/101676368545855/videos/268360508135471/,TRUE,03-Mar-21,22.111619,95.139197,"Deaths, injuries",3
MMR080,https://www.facebook.com/aungkhant.san.5/videos/1434585573542098/,,,FALSE,08-Mar-20,25.382628,97.396721,Less-lethals,1
MMR078,https://www.facebook.com/watch/live/?v=156954876263462&ref=watch_permalink,https://www.facebook.com/myitkyinanewsjournal.mm/videos/441432017280829,,TRUE,08-Mar-20,25.382693,97.398996,"Deaths, injuries, live ammunition",2
MMR079,https://www.facebook.com/watch/live/?v=156954876263462&ref=watch_permalink,https://www.facebook.com/myitkyinanewsjournal.mm/videos/441432017280829,,TRUE,08-Mar-20,25.382693,97.398996,"Deaths, injuries, live ammunition",2
MMR081,https://www.facebook.com/100012290147042/videos/1230019627417697/,https://www.facebook.com/kyaw.lin.798/videos/1904783136337615/,,TRUE,08-Mar-20,25.383118,97.39575,"Injuries, less-lethals, live ammunition",2
MMR082,https://www.facebook.com/100012290147042/videos/1230019627417697/,https://www.facebook.com/kyaw.lin.798/videos/1904783136337615/,,TRUE,08-Mar-20,25.383118,97.39575,"Injuries, less-lethals, live ammunition",2
