Content Code,DVC Partner,Photo / Video,Source Link,Preservation Link,Reported Location Details (free text),City,Content Description,Military visible?,Graphic,Publication Date,Publication Time,Verification Status,Category 1,Category 2,Perpetrators,Event Date,Event Time,Location,Latitude,Longitude,Related Content,,Brian,,,,,,
MMR001,CAM,Photo,https://twitter.com/hannayuri_twt/status/1365994873313103876,,,Mandalay,"Woman shot in streets, head wound visible",FALSE,TRUE,28-Feb-21,18:28,Verified,Deaths,,Police,28-Feb-21,17:40,Intersection between 35th street and 75th street,21.96886988,96.09119559,"https://twitter.com/GraceyKai/status/1365987089750269952, https://twitter.com/v_aung/status/1366010047470309381 ",,,,,,,,
MMR002,CAM,Video,https://twitter.com/mipnnn1910/status/1366005322767241222,,,Mandalay,Woman from MMR001 being lifted and moved to ambulance,FALSE,TRUE,28-Feb-21,19:10,Verified,Deaths,,Police,28-Feb-21,17:40,Intersection between 35th street and 75th street,21.96886988,96.09119559,MMR001,,,,,,,,
MMR003,CAM,Video,https://twitter.com/Myanmar_Now_Eng/status/1365858318837641219,,,Yangon,Video of man shot on street a protesters flee,FALSE,TRUE,28-Feb-21,,Verified,Deaths,,,27-Feb-21,,Basic Education High School NO (5) Kamaryut,16.825675,96.126747,"MMR008, https://twitter.com/YeeMonSoe9/status/1365868938597257217 , https://twitter.com/walone4/status/1365878648507662338 ",,,,,,,,
MMR004,CAM,Photo,https://twitter.com/matthewfsmith/status/1365864386301149187,,,Yangon,Man shot on street (close-up photo),FALSE,TRUE,28-Feb-21,09:26,Verified,Deaths,,,27-Feb-21,,Basic Education High School NO (5) Kamaryut,16.825675,96.126747,"MMR008, https://twitter.com/veronica1983310/status/1365873615808458756 ",,,,,,,,
MMR005,,Video,https://www.facebook.com/khitthitnews/videos/271614997651199,,,Dawei,Weapons fired by military/police,FALSE,FALSE,28-Feb-21,,Verified,Live Ammunition,,Unclear,28-Feb-21,Between 6am-8am based on sun,Arzarni Road,14.07117,98.189569,https://twitter.com/soezeya/status/1365889354141290496,,"MA-series semi auto rifle, shotguns, single-shot 37/38mm grenade launchers. Rifle the issue",,,,,,
MMR006,CAM,Video,https://twitter.com/wkkaung/status/1365991211807305728,,,Yangon,,FALSE,FALSE,28-Feb-21,,Verified,Less-lethals,,Unclear,28-Feb-21,,Myanmar Plaza,16.82828866,96.15451077,MMR007,,,,,,,,
MMR007,CAM,Video,https://twitter.com/wkkaung/status/1365992391501484032,,,Yangon,,FALSE,FALSE,28-Feb-21,,Verified,Less-lethals,,,28-Feb-21,,Myanmar Plaza,16.8283642,96.1556265,MMR006; https://twitter.com/TMemezin/status/1365943726787420163; https://twitter.com/BluemoonAngel2/status/1365988248976166914,,,,,,,,
MMR008,CAM,Video,https://twitter.com/ThomasVLinge/status/1366026930114420739,,"Hledan, Yangon",Yangon,People attend to body of man who appears to have been shot,FALSE,TRUE,28-Feb-21,,Verified,Deaths,,Unclear,28-Feb-21,9:26 am,Basic Education High School NO (5) Kamaryut,16.825675,96.126747,,,,,,,,,
MMR009,CAM,Video,https://www.youtube.com/watch?v=xgmUbOc048Y&feature=youtu.be,,Niban Road / Yay Road (intersection),Dawei,Man allegedly shot dead on front lines of protest at '23 secs,FALSE,TRUE,28-Feb-21,20:28 (Myanmar time),Verified,Deaths,Live Ammunition,Unclear,28-Feb-21,,Niban Road/Yay Road ,14.076131,98.19317,,"No street view for exact location but shops in video identified - Htun Thida pharmacy 43 Myotwin Rd, Dawei, Myanmar (Burma) https://www.google.co.uk/maps/@14.0761635,98.1920224,3a,75y,115.9h,87.84t/data=!3m8!1e1!3m6!1sAF1QipMOfFlGOUTsudieAkHWRa5Lk4uq2GERDCbn-2sb!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMOfFlGOUTsudieAkHWRa5Lk4uq2GERDCbn-2sb%3Dw203-h100-k-no-pi0-ya278.70032-ro-0-fo100!7i10240!8i5120",,,,,,,"Street view unavailable for exact location but surrounding shops identified - https://www.google.co.uk/maps/@14.0761635,98.1920224,3a,75y,115.9h,87.84t/data=!3m8!1e1!3m6!1sAF1QipMOfFlGOUTsudieAkHWRa5Lk4uq2GERDCbn-2sb!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMOfFlGOUTsudieAkHWRa5Lk4uq2GERDCbn-2sb%3Dw203-h100-k-no-pi0-ya278.70032-ro-0-fo100!7i10240!8i5120"
MMR010,,Video,https://twitter.com/ThomasVLinge/status/1366012299262230533,,Clock Tower,Myeik,Police fire weapon (possibly launcher) at protesters,FALSE,FALSE,28-Feb-21,,Verified,Less-lethals,,,28-Feb-21,,,12.441568,98.596877,,,"Old school M79-style grenade launcher, semi-auto rifles (probably MA-1 series weapons)",,,,,,
MMR011,,Video,https://twitter.com/PVamplify/status/1365922086334525442,,,Myeik,Police beat man with sticks,FALSE,TRUE,28-Feb-21,13:39,,Beating,,,,,,,,,,,,,,,,
MMR012,CAM,Video,https://twitter.com/ThomasVLinge/status/1366029674145579009,,,Yangon,Drone footage showing dispersal of protests in Yangon,FALSE,FALSE,28-Feb-21,20:47,Verified,Less-lethals,,,28-Feb-21,,,16.8327361,96.1679878,,,Tear gas or concussion grenade combo,,,,,,
MMR013,CAM,Video,https://www.youtube.com/watch?v=1oCozCj_7Ws&feature=youtu.be,,,Yangon,Protests in front of Yuzana plaza,FALSE,FALSE,28-Feb-21,,Verified,Less-lethals,,,28-Feb-21,,Yuzana Plaza,16.7941632,96.1754668,,Verified 2:19 -> end. From 2:00 seems to be on same street,,,,,,,
MMR014,CAM,Video,https://twitter.com/MMProtestsNews/status/1365611775844970502,,,Monywa,"Military beating protesters, firing shotguns. Badge in first scene",TRUE,FALSE,27-Feb-21,,Verified,Beating,Less-lethals,Military,27-Feb-21,,,22.105623,95.137198,,The military may belong to the Rangoon Command (badge on shoulder matches) (not 100% sure but this badge seems to be the closest match.),,,,,,,
