Content Code,DVC Partner,Photo / Video,Source Link,Preservation Link,Reported Location Details (free text),City,Content Description,Military visible?,Graphic,Publication Date,Publication Time,Verification Status,Category 1,Category 2,Perpetrators,Event Date,Event Time,Location,Latitude,Longitude,Related Content,
MMR045,,video,https://twitter.com/ThomasVLinge/status/1367081660655763456,,Yangon,Yangon,4-5 policemen stop an ambulance and force the medics outside. Once they sit by the side of the road the police start savagely beating the medics.,TRUE,TRUE,03-Mar-21,18:27,,,,,,,,,,,
MMR046,,video,https://twitter.com/KharRa69106439/status/1367091811982876679,,no location mencioned,,Man shot in the head bleeding on the street. ,FALSE,TRUE,04-Mar-21,08:07,Pending,Injuries,,,03-Mar-21,,,,,,
MMR047,,Photo,https://twitter.com/hannayuri_twt/status/1367435973617885188,,Hpakant of Kachin State,Hpakan,Photos of the protest and people shot during the protest,TRUE,FALSE,04-Mar-21,17:55:00 AM,Pending,Injuries,General protest,Military,03-Mar-21,,,,,,
MMR048,,Video,,,,,,FALSE,FALSE,,,,,,,,,,,,,
MMR049,,Video,https://www.facebook.com/koctshinnway/videos/182675563582764,,North Okkalapa,Yangon,"General protest and gun fire, wounded boy",FALSE,TRUE,04-Mar-21,,Verified,Injuries,Live Ammunition,,03-Mar-21,,,16.892308,96.154214,,
MMR050,,Photo,https://twitter.com/Limario01/status/1367131453020983298,,North Okkalapa,Yangon,Dead boy on ground,FALSE,TRUE,04-Mar-21,,Verified,Deaths,,,03-Mar-21,,,16.892137,96.154216,,
MMR051,,Video,https://twitter.com/mydaydream89/status/1367079829342998529,,North Okkalapa,Yangon,NOTE NOT MACHINE GUN FIRE,FALSE,FALSE,04-Mar-21,,Verified,Live Ammunition,,,03-Mar-21,,,16.892308,96.154214,,
MMR052,,,https://www.youtube.com/watch?v=7MY2F8Ki2RY,,all over the country,,"news piece including footage from the protests, police shooting to protestors, other police violence",TRUE,FALSE,03-Mar-21,,,Live Ammunition,General protest,,,,,,,,
MMR053,,Video,https://www.facebook.com/346571225700653/videos/1383739018646055,,North Okkalapa,Yangon,General protest and gun fire filmed from building between security forces and protesters,TRUE,FALSE,03-Mar-21,,Verified,Live Ammunition,,,03-Mar-21,,,16.890987,96.15352,,
MMR054,,Video,https://twitter.com/TRL_THIRILWIN/status/1367115552884285446,,North Okkalapa,Yangon,Machine gun fire heard in background,FALSE,FALSE,,,,Live Ammunition,,,,,,,,,
MMR055,,Video,https://www.facebook.com/nanmyintthein/videos/10214634560536004/,,Myingyan,Myingyan,Security force member loading and firing submachine gun,TRUE,FALSE,03-Mar-21,,Verified,Live Ammunition,,,03-Mar-21,,,21.452592,95.387689,"https://www.facebook.com/theirrawaddy/photos/4204366456274846, https://www.facebook.com/100050388815348/videos/285287509827541/ ",
MMR056,,Video,https://www.facebook.com/100008879564999/videos/2508993296073298/,,Myingyan,Myingyan,General protest at location of MMR055,TRUE,FALSE,03-Mar-21,,Verified,General protest,,,03-Mar-21,,,21.452944,95.387727,https://www.facebook.com/100008463367589/videos/2674935489465204/,https://www.facebook.com/100008463367589/videos/2675212122770874/
MMR057,,Video,https://www.facebook.com/100011759491176/videos/1257712954630676/,,Myingyan,Myingyan,Body of what appears to be deceased protester carried by others,FALSE,TRUE,03-Mar-21,,Verified,Deaths,,,03-Mar-21,,,21.450978,"
95.387327",https://www.facebook.com/henry.z.designer/videos/2924279341151502/,https://www.facebook.com/theirrawaddyburmese/posts/4264385200272266
MMR063,,Video,https://twitter.com/Travelkueen1/status/1367099744057630726,,North Okkalapa,Yangon,EJE - police dragging body,FALSE,FALSE,03-Mar-21,,Verified,Deaths,,,03-Mar-21,,,16.901331,96.16427,,
MMR064,,Video,https://www.facebook.com/216265185075061/videos/255764599532462,,,Monywa,Police dragging bodies,FALSE,TRUE,03-Mar-21,,Verified,Deaths,,,03-Mar-21,,,22.111619,95.139197,https://www.facebook.com/107967874664760/videos/452656465879997,
MMR065,,Video,https://www.facebook.com/100490922086310/videos/262690538800175,,,Monywa,Gunfire and crowd dragging injured,FALSE,TRUE,03-Mar-21,,Verified,Injuries,,,03-Mar-21,,,22.111619,95.139197,,
MMR065,,Video,https://www.facebook.com/101676368545855/videos/268360508135471/,,,Monywa,"GRAPHIC - injured person bleeding out, carried by fleeing protesters",FALSE,TRUE,03-Mar-21,,Verified,Injuries,,,03-Mar-21,,,22.111619,95.139197,,
